pdb_id,entity_id
3afa,4
5ew2,1
3mfh,2
4tqs,2
5tjg,3
3afa,1
5gnj,1
5ew2,4
5ew2,3
5ew2,2
4hn6,3
1yql,2
3mfh,1
1yql,1
1yql,3
5omx,6
1e3o,2
5omx,5
3v6j,2
3v6j,1
4elt,2
4elt,3
5vz7,1
5vz7,3
3rma,3
1jx4,2
3rma,1
1clq,2
5yiw,3
5yiw,1
4ect,2
4b9n,2
4b9n,3
1rh0,1
3coa,2
3g2c,1
5kg3,1
7ick,2
3rei,2
8icc,2
6ama,1
4qtj,2
4qtj,1
4qtj,3
3jy1,1
4yox,1
3rei,5
5ong,1
4uaz,1
4uaz,3
4uaz,4
3g2c,2
4aa6,1
4aa6,2
5kg3,3
4aa6,3
7ick,1
7ick,3
1f44,3
4ou7,1
3co7,1
4dqi,3
4dqi,1
3co7,3
4dqi,2
6cnp,2
3oqn,4
4q43,2
4fk2,2
4q43,1
5tjg,6
5tjg,1
5tjg,4
5tjg,5
4tqs,3
5tjg,2
4tqs,1
4hn6,1
6ged,3
3oqn,2
4o3s,3
3oqn,1
4o3s,2
4o3s,1
4q43,3
5kfg,2
3vd0,2
1pvi,1
5hrd,1
4b24,1
2pfp,3
4dts,3
3m9e,2
3wtx,2
5u1j,3
5u1j,2
4x4c,1
2pfp,1
2pfp,2
2aoq,1
2aoq,2
5j0q,3
1p3m,4
1p3m,2
1p3m,3
5j0q,1
1f5t,3
2euv,1
5odp,2
3c46,2
4dts,1
3c46,1
4rdu,1
3mr3,3
5eoz,3
5eoz,1
2drp,2
6cil,5
6cil,1
6cil,4
6cil,3
2f8n,6
5u1j,1
1lww,2
5dg9,2
3q8l,2
3q8l,4
5odp,1
2euv,2
2euv,3
1m5x,2
3azj,1
1u1r,1
1u1r,2
5b1m,2
1qna,3
4m9g,3
1t9i,2
5b1m,5
3qep,3
3azj,5
3qep,1
3azj,3
3azj,2
4m9g,4
4m9g,2
1qna,1
1m5x,3
1m5x,1
1bsu,1
5fd3,2
5fd3,3
5f99,6
1t9i,1
5f99,5
1t9i,3
5f99,3
5f99,4
5b1m,4
5b1m,3
5f99,2
5xf3,2
5f99,1
5xf3,3
5xf3,1
5xf3,4
3azj,4
5b1m,1
1bsu,2
3qep,2
1bsu,3
5fd3,1
5zfw,3
5zfz,1
5zfw,2
6bem,2
6bem,4
6hkt,4
5zfw,1
5zfz,3
5zyt,2
5zfz,2
5zyt,1
6bem,3
6fke,1
5e6d,2
6m7t,2
5wcu,1
6m7p,3
5z6z,2
5z6z,1
6m7p,2
6bek,2
6m7u,3
6m7u,1
6dsu,3
6fk5,1
6fk5,2
6dsv,2
6bcn,2
6bcn,3
6hkt,6
6hkt,1
6hkt,3
3jxc,2
5cld,3
5cld,1
5t1j,1
1njw,2
5y3k,3
5y3k,2
5y3k,1
4dtm,3
4ea5,3
4ea5,1
5ytz,1
1ixy,3
5ytz,2
1ixy,2
1ixy,1
4gck,2
5cld,2
4gck,1
4hio,1
4dtm,1
4lup,2
4ea5,2
5kfl,3
1y8z,2
1y8z,3
4k4g,2
5j2q,2
5wnz,2
5wnz,3
5wnz,1
1pnr,2
1njw,1
1njw,3
5j3e,2
5j3e,1
4lup,1
1pnr,1
5wnz,4
7icq,1
5eyo,2
7icq,3
4q0w,1
3kql,1
5j2q,3
3si8,2
4q0w,2
3si8,1
7icq,2
5eyo,1
4q0w,3
4dtm,2
5d5w,1
3os0,5
1nne,3
3os0,2
4yp3,3
4yp3,1
3oym,1
1c9b,2
1c9b,3
1c9b,1
1lrr,3
3si8,3
1n5y,1
1n5y,2
3oqm,4
5vrx,1
1mje,1
1mje,2
5vrx,2
3uxp,3
1s32,1
4f8r,2
3jpo,3
5hhi,2
4klg,4
1n5y,5
1n5y,3
5g32,3
3jpo,2
5g32,1
1jfs,1
3qoq,3
6asd,2
6asd,1
1n5y,6
3oqm,3
3oqm,2
3oqm,1
1n5y,4
1zqm,3
5vrx,3
3uxp,1
1s32,4
1s32,5
5wn1,2
5tyw,3
5tyw,1
5tyw,4
5wn1,3
4ebe,2
4ebe,3
3o1v,1
3uxp,2
1s32,2
1s32,3
1mje,3
4f8r,3
5g32,2
4f8r,1
3jpo,1
3jpo,4
1jfs,2
3qoq,2
3qoq,1
5tyw,2
5wn1,4
1qn7,3
1qn7,2
5wn1,1
1qn7,1
4ebe,1
5t1j,2
1nne,2
3os0,3
1nne,1
5d5w,2
3os0,4
5n2q,2
3os0,1
5n2q,1
1exj,1
1exj,2
3oym,2
3oym,3
4yp3,2
1noy,2
6fbh,2
6fbh,3
1c9b,4
6fbh,1
1pzu,3
5wc9,3
1r8e,1
1noy,1
1r8e,2
5wc9,2
5wc9,1
4z8f,3
4hio,2
4z8f,2
4z8f,1
1nk4,3
1nk4,2
1kc6,2
5chi,2
5chi,1
4k9a,3
4k9a,2
4k9a,1
1kc6,1
1nk4,1
1pzu,2
1pzu,1
2i05,3
3fbd,1
4m9g,1
1qna,2
3fbd,2
2i05,2
6evv,2
5xf3,5
5co8,3
5co8,5
5co8,4
5ywv,2
5ywv,1
5v3g,1
5v3g,2
5v3g,3
6evv,3
5co8,1
1zqm,1
1zqm,2
4n41,4
5vrx,4
4n41,2
4n41,1
1hcr,1
1hcr,2
5inl,2
5inl,1
1hcr,3
4klg,1
2vwj,1
4klg,2
5hhi,3
5hhi,1
5hhi,4
4klg,3
4ndy,2
4ndy,1
3q0f,1
3u7f,2
4ndy,4
4ndy,3
5kfl,2
3q0f,3
5kfl,1
3q0f,2
3u7f,1
3zqc,2
2vwj,2
6fb0,2
3zqc,3
6fb0,1
6fb0,3
6fb0,4
3zqc,1
5cnq,3
1lrr,1
5j2q,4
5kfn,2
5kfn,3
4k4g,1
6gce,2
6gce,3
5zyu,2
6dsy,1
6dsy,2
5zfy,1
5zyu,1
5zfy,3
5zfy,2
6dsy,3
6bem,1
5wcu,7
6m7t,1
5wcu,2
6en8,1
6m7t,3
5z6z,3
6bek,1
6m7p,1
6m7o,2
6m7o,1
6m7o,3
5zyv,2
6m7u,2
5zyv,1
6dsu,2
6dsu,1
5e6d,1
5e6d,3
6gce,1
6dsv,3
6dsv,1
6fke,2
5wcu,6
5wcu,5
5wcu,4
5wcu,3
6en8,2
6en8,3
6cuu,7
6cuu,6
6cuu,3
6cuu,4
6cuu,5
6fk4,2
6fk4,1
6bcn,1
6hkt,5
6hkt,2
3u2b,1
4j9n,1
4ubb,2
4ubb,4
4ubb,1
8ick,1
8ick,2
3cq8,3
4ird,4
3u2b,3
4j9n,3
3u2b,2
4j9n,2
4ubb,3
4ird,3
4yig,3
4yig,4
3cq8,1
5co8,2
6evv,1
5xf3,6
4wwc,2
1n4l,2
5gwk,2
1nnj,2
5v1f,4
4bnc,3
5v1f,3
4bnc,1
5v1f,1
1dh3,1
4rpx,1
4k4h,2
4pd2,3
8icf,3
3wtu,1
3e43,2
4a8k,2
3e43,1
1dsz,2
1dsz,1
1dsz,4
6crc,3
6crc,1
4auw,1
4x4e,2
4x4e,1
5vu7,1
3bty,1
4pd2,2
3os2,2
4z2c,2
4z2c,3
5zln,2
5zln,1
3os2,3
3os2,4
4k4h,4
3hpo,1
3hpo,2
4yd2,4
4yd2,1
4rq0,1
6fb6,4
3a01,4
3kd1,2
3kd1,1
2v2t,1
